retweets,likes,Subjectivity,Polarity
102,0,0.0,0.0
1246,0,0.0,0.0
368,0,0.0,0.0
368,0,0.0,0.0
214,0,0.5,0.4
12,0,0.3,0.2
43,0,0.2,0.2
4,19,0.2,0.1
0,1,0.5,0.2
7,0,0.4,0.4
1246,0,0.0,0.0
214,0,0.5,0.4
220,0,0.3,0.3
109,0,0.0,0.0
3,11,0.4,0.2
368,0,0.0,0.0
2,0,0.3,0.2
1246,0,0.0,0.0
0,1,0.5,-0.4
102,0,0.0,0.0
1246,0,0.0,0.0
136,0,0.5,0.4
37,0,0.1,0.0
2871,0,0.0,0.0
136,0,0.5,0.4
10,0,0.0,0.0
1,0,0.0,0.0
368,0,0.0,0.0
368,0,0.0,0.0
16,30,0.6,0.0
3,0,0.3,0.2
31,0,0.7,0.5
368,0,0.0,0.0
69,0,0.4,0.3
1,9,0.0,0.0
368,0,0.0,0.0
245,0,0.3,-0.2
6,0,0.0,0.0
165,0,0.2,0.0
1332,0,0.4,-0.1
3,0,0.0,0.0
117,0,0.0,0.0
3,0,0.7,0.0
9,0,0.0,0.0
225,0,0.0,0.0
225,0,0.0,0.0
28,0,0.0,0.0
54,0,0.0,0.0
3,3,0.0,0.0
36,0,0.8,0.4
33,0,0.0,0.0
225,0,0.0,0.0
413,0,0.0,0.0
12,0,0.0,0.0
367,0,0.0,0.0
316,0,0.0,0.0
225,0,0.0,0.0
117,0,0.0,0.0
9,0,0.0,0.0
117,0,0.0,0.0
250,0,0.0,0.0
367,0,0.0,0.0
46,0,0.0,0.0
1,0,0.9,0.3
6,0,0.0,0.0
117,0,0.0,0.0
2,0,0.0,0.0
1332,0,0.4,-0.1
0,2,0.5,0.5
225,0,0.0,0.0
367,0,0.0,0.0
3,0,0.0,0.0
250,0,0.0,0.0
7,0,0.4,-0.3
1,2,0.0,0.0
117,0,0.0,0.0
144,0,0.0,0.0
1,4,0.9,0.3
255,0,0.4,-0.1
153,0,0.2,0.2
250,0,0.0,0.0
363,0,0.2,0.1
1,8,0.3,-0.3
117,0,0.0,0.0
225,0,0.0,0.0
35,0,0.0,0.0
144,0,0.0,0.0
0,1,0.0,0.0
24,0,0.2,-0.2
197,0,0.0,0.0
87,0,0.2,-0.1
143,0,0.0,0.0
363,0,0.2,0.1
194,0,0.5,-0.2
54,0,0.0,0.0
225,0,0.0,0.0
33,0,0.0,0.0
3,0,0.0,0.0
61,0,0.0,0.0
225,0,0.0,0.0
351,0,0.1,0.0
1332,0,0.4,-0.1
413,0,0.0,0.0
0,1,0.4,0.0
2,10,0.2,0.0
37,0,0.0,0.0
2,2,0.5,-0.4
233,0,0.4,-0.1
363,0,0.2,0.1
984,0,0.0,0.0
488,0,0.0,0.0
173,0,0.0,0.0
17,0,0.1,0.0
488,2190,0.0,0.0
103,0,0.4,0.1
1,0,0.4,0.1
1499,0,0.4,-0.1
58,0,0.0,0.0
98,0,0.0,0.0
173,0,0.0,0.0
15,0,0.3,-0.1
3,4,0.0,0.0
108,0,0.2,-0.1
1499,0,0.4,-0.1
1008,0,0.0,0.0
0,4,0.0,0.0
4,0,0.0,0.0
26,0,0.0,0.0
161,0,0.0,0.0
2,0,0.0,0.0
16,0,0.0,0.0
