retweets,likes,Subjectivity,Polarity
5,0,0.4,0.5
0,1,0.2,0.4
401,0,0.5,0.2
0,2,0.4,0.2
0,2,0.6,0.3
1,10,0.0,0.0
609,0,0.9,0.9
609,0,0.9,0.9
510,0,0.0,0.0
510,0,0.0,0.0
4,0,0.1,0.0
0,1,0.0,0.0
100,0,0.0,0.0
0,1,0.0,0.0
138,0,0.0,0.0
3,5,0.0,0.0
138,0,0.0,0.0
0,2,0.6,0.0
401,0,0.5,0.2
210,0,0.8,0.4
609,0,0.9,0.9
40,0,0.0,0.0
1,12,0.0,0.0
401,0,0.5,0.2
29,0,0.0,0.0
0,1,0.0,-0.0
0,1,0.3,0.2
510,0,0.0,0.0
1,4,0.0,0.0
3,0,0.0,0.0
491,0,0.0,0.0
510,0,0.0,0.0
0,2,0.4,0.4
609,0,0.9,0.9
0,3,0.3,1.0
14,0,0.2,-0.0
1,0,0.2,0.2
510,0,0.0,0.0
65,0,0.8,0.6
3,2,0.0,0.0
7,0,0.3,0.0
0,1,1.0,0.0
2,0,0.8,0.6
137,0,0.0,0.0
1,1,0.1,-0.1
401,0,0.5,0.2
401,0,0.5,0.2
51,0,0.0,0.0
138,0,0.0,0.0
0,1,0.7,-0.2
491,0,0.0,0.0
138,0,0.0,0.0
40,0,0.0,0.0
43,0,0.3,0.2
0,4,0.5,0.2
0,1,0.2,-0.0
72,0,0.0,0.0
0,3,0.0,0.0
170,0,0.0,0.0
46298,0,0.0,0.0
0,2,0.5,0.1
0,1,0.7,0.6
4,0,0.0,0.0
0,2,0.0,0.0
19,42,0.0,0.0
0,1,0.0,0.0
0,1,0.3,-0.4
11,0,0.0,0.0
102,0,0.0,0.0
107,0,1.0,0.8
46298,0,0.0,0.0
0,1,0.5,0.2
34,0,0.0,0.0
0,2,0.5,0.5
1,1,0.0,0.0
1,2,0.2,0.1
0,1,0.4,0.1
57,0,0.2,0.2
494,0,0.5,0.1
170,0,0.0,0.0
0,4,0.2,-0.2
1,1,0.0,0.0
0,1,0.0,0.0
0,3,0.5,0.3
0,1,1.0,0.2
0,1,1.0,0.0
46776,0,0.0,0.0
0,1,0.5,0.4
0,14,0.0,0.0
4,0,0.6,-0.1
0,4,0.3,0.2
307,0,0.0,0.0
0,1,0.3,0.2
239,0,0.2,0.1
307,0,0.0,0.0
18,0,0.8,0.8
1,0,0.3,-0.1
15,0,0.1,0.0
19,0,0.2,0.0
0,1,0.2,-0.0
5,0,0.6,-0.8
5,0,0.1,-0.0
0,1,0.6,-0.1
0,10,0.3,0.5
130,0,0.8,0.4
4,0,0.0,0.0
0,3,0.3,0.2
1,3,0.5,0.0
0,1,0.0,0.0
0,3,0.5,0.2
8,0,0.0,0.0
61,0,0.0,0.0
46776,0,0.0,0.0
4,1,0.0,0.0
239,0,0.2,0.1
307,0,0.0,0.0
2,0,0.5,0.0
239,0,0.2,0.1
54,0,0.0,0.0
0,14,0.2,0.1
1,3,0.5,0.0
128,0,0.0,0.0
14,43,0.0,0.0
130,0,0.8,0.4
2,0,0.0,0.0
0,37,0.3,0.5
0,1,0.6,0.3
0,2,0.4,0.1
523,0,0.0,0.0
128,0,0.0,0.0
18,0,0.8,0.8
326,0,0.0,0.0
0,50,0.0,0.0
0,27,0.0,0.0
0,1,0.5,-0.3
6,0,0.6,0.3
0,1,0.2,0.2
18,0,0.8,0.8
2,2,0.0,0.0
0,1,0.2,-0.2
847,0,0.9,-0.6
307,0,0.0,0.0
326,0,0.0,0.0
0,7,0.7,0.4
239,0,0.2,0.1
0,1,0.3,1.0
54,0,0.0,0.0
239,0,0.2,0.1
0,1,0.0,0.0
10,0,1.0,0.1
0,9,0.0,0.0
239,0,0.2,0.1
90,0,0.0,0.0
195,0,0.0,0.0
239,0,0.2,0.1
0,1,0.0,0.0
148,0,0.0,0.0
28,0,0.3,0.2
0,2,0.3,-0.3
131,0,0.0,0.0
523,0,0.0,0.0
768,0,0.2,-0.1
128,0,0.0,0.0
195,0,0.0,0.0
1,1,0.8,0.2
128,0,0.0,0.0
0,4,0.2,0.1
46776,0,0.0,0.0
239,0,0.2,0.1
19,0,0.2,0.0
1,0,0.0,0.0
46776,0,0.0,0.0
0,1,0.0,0.0
0,8,0.4,-0.0
0,1,0.1,0.0
46776,0,0.0,0.0
0,1,0.0,0.0
523,0,0.0,0.0
130,0,0.8,0.4
7,118,0.0,0.0
523,0,0.0,0.0
0,2,0.3,0.1
18,0,0.8,0.8
4,0,0.5,0.1
76,0,0.7,-0.0
239,0,0.2,0.1
0,5,0.8,0.5
2,0,0.0,0.0
54,0,0.0,0.0
0,2,0.5,0.2
46290,0,0.3,0.0
130,0,0.8,0.4
10,47,1.0,0.8
0,4,0.7,0.7
3,0,0.2,0.1
0,1,0.8,0.2
0,13,0.6,0.2
0,1,0.0,0.0
5,0,0.4,-0.1
0,2,0.4,-0.1
0,3,0.3,0.2
76,0,0.5,0.1
0,2,0.4,0.2
0,1,0.0,0.0
307,0,0.0,0.0
0,13,0.6,0.2
2,0,1.0,1.0
18,0,0.8,0.8
18,0,0.8,0.8
1,0,1.0,0.3
61,0,0.0,0.0
130,0,0.8,0.4
46776,0,0.0,0.0
46776,0,0.0,0.0
1,2,0.0,0.0
0,38,0.3,0.2
0,1,0.5,-0.1
4,0,0.5,0.1
61,0,0.0,0.0
25,0,0.5,0.0
768,0,0.2,-0.1
0,1,0.0,0.0
1,38,0.8,-0.1
18,61,0.8,0.8
61,0,0.0,0.0
0,2,0.0,0.0
523,0,0.0,0.0
19,14,0.2,0.0
3,0,0.0,0.0
23,0,0.0,0.0
1,16,0.2,0.2
46776,0,0.0,0.0
46776,0,0.0,0.0
130,0,0.8,0.4
130,0,0.8,0.4
41,0,0.0,0.0
0,1,0.4,0.1
46776,0,0.0,0.0
61,0,0.0,0.0
0,1,0.4,0.0
0,6,0.3,0.1
0,1,0.2,0.0
0,3,0.2,-0.1
1,0,0.1,0.0
1,0,0.0,0.0
130,0,0.8,0.4
1,15,0.7,0.2
1,0,0.3,0.0
130,0,0.8,0.4
0,2,0.4,0.2
523,0,0.0,0.0
768,0,0.2,-0.1
46776,0,0.0,0.0
130,0,0.8,0.4
130,0,0.8,0.4
25,0,0.5,0.0
21,0,0.2,0.0
0,1,0.2,0.2
0,3,0.0,-0.1
3,5,0.4,0.4
0,2,0.2,0.1
0,63,0.8,0.4
92,0,0.3,0.2
307,0,0.0,0.0
0,7,0.3,0.2
3,0,0.4,-0.1
130,0,0.8,0.4
0,8,0.2,0.0
0,7,0.4,0.3
61,0,0.0,0.0
134,0,0.0,0.0
307,0,0.0,0.0
523,0,0.0,0.0
24,0,0.2,0.2
3,0,0.1,0.0
0,1,0.3,0.3
0,1,0.6,0.2
61,0,0.0,0.0
2,0,0.0,0.0
1,0,0.5,0.1
3,0,0.0,0.0
1,41,0.3,-0.1
90,0,0.0,0.0
10,0,0.4,0.1
0,1,0.0,0.0
523,0,0.0,0.0
768,0,0.2,-0.1
1,2,0.5,0.0
3,0,0.1,0.0
0,2,0.8,0.1
0,1,0.2,0.1
0,1,0.3,0.0
373,0,0.3,0.2
0,3,0.6,0.5
1,11,0.6,0.0
10,0,1.0,0.1
4,0,0.3,0.1
54,0,0.0,0.0
0,9,0.3,0.2
3,0,0.4,0.4
326,0,0.0,0.0
4,0,0.0,0.0
0,6,0.0,0.0
0,19,0.3,0.2
0,1,0.3,0.3
0,1,0.4,0.4
76,0,0.4,0.2
76,0,0.5,0.1
4,0,0.0,0.0
522,0,0.0,0.0
22,0,0.0,0.0
90,0,0.0,0.0
239,0,0.2,0.1
195,0,0.0,0.0
3,6,0.0,0.0
0,11,0.5,0.5
0,1,0.5,-0.3
0,4,0.2,0.1
49,0,0.3,0.2
0,2,0.4,-0.0
131,0,0.0,0.0
0,1,0.8,0.4
0,1,0.0,0.0
307,0,0.0,0.0
34,0,0.2,0.0
4,0,0.0,0.0
0,1,0.4,-0.2
18,0,0.0,0.0
76,0,0.5,0.1
522,0,0.0,0.0
0,2,0.5,-0.1
0,2,0.1,0.0
0,6,0.4,-0.2
46777,0,0.0,0.0
0,5,0.3,0.6
61,0,0.0,0.0
90,0,0.0,0.0
130,0,0.8,0.4
0,1,0.7,0.0
41,0,0.0,0.0
61,0,0.0,0.0
0,2,0.3,0.3
4,8,0.3,0.1
46777,0,0.0,0.0
16,0,0.4,0.4
